quarter_date,strat,ticker,rank_in_strat,score_level2,selected_reason,pair_corr,score_gap_vs_top1,active_review_date,switch_flag,switch_reason,ter_pct,ter_dec,nom,label
2024-02-01,STRAT2,PRAEEMA LX Equity,2,1.2336900384946745,top2_diversified,0.14488483651867598,0.40580465406396593,2024-02-01,1,better_score,1.55,0.0155,PRVED-AMBER EVT EUR-EUR MA,PRVED-AMBER EVT EUR-EUR MA
2024-02-01,STRAT3,GAS3S IM Equity,1,3.384228847756269,top1,,0.0,2024-02-01,1,better_score,0.98,0.0098,SG ETC GAS 3XSHRT DLY COL,SG ETC GAS 3XSHRT DLY COL
2024-03-01,STRAT1,ALLVOSI LX Equity,1,1.1299651372985589,top1,,0.0,2024-02-01,0,same_ticker,0.7,0.006999999999999999,ALLIANZ-VOLATILITY STR-I,ALLIANZ-VOLATILITY STR-I
2024-03-01,STRAT1,UIATHNA GR Equity,2,1.1134120006541541,top2_diversified,-0.036983674886598115,0.01655313664440472,2024-02-01,0,same_ticker,1.23,0.0123,ATHENA UI,ATHENA UI
2024-03-01,STRAT2,BGTFDLX LX Equity,1,1.6675458504557585,top1,,0.0,2024-02-01,0,same_ticker,1.47,0.0147,LUX IM-PICTET FUT TRE-DXL EA,LUX IM-PICTET FUT TRE-DXL EA
2024-03-01,STRAT2,BLEURAA LX Equity,2,1.3503180306991982,top2_diversified,-0.005120134925812074,0.31722781975656034,2024-02-01,1,better_score,1.862,0.01862,BLACKROCK STR FD-EUR ABS-A2,BLACKROCK STR FD-EUR ABS-A2
2024-03-01,STRAT3,SGCBIFH LX Equity,1,0.7863578656773564,top1,,0.0,2024-02-01,1,better_score,1.32,0.0132,Schroder Gaia BD IF,Schroder Gaia BD IF
2024-03-01,STRAT3,GAMCBIA ID Equity,2,0.743694043086693,top2_diversified,0.04032409587641407,0.04266382259066348,2024-02-01,1,better_score,0.8,0.008,Gam Swiss Re Cat Bond - Ins EU,Gam Swiss Re Cat Bond - Ins EU
2024-04-01,STRAT1,UIATHNA GR Equity,1,1.0940306688440493,top1,,0.0,2024-02-01,1,better_score,1.23,0.0123,ATHENA UI,ATHENA UI
2024-04-01,STRAT1,ALLVOSI LX Equity,2,0.944605022822054,top2_diversified,-0.017907176222546683,0.14942564602199526,2024-02-01,1,deduplicate,0.7,0.006999999999999999,ALLIANZ-VOLATILITY STR-I,ALLIANZ-VOLATILITY STR-I
2024-04-01,STRAT2,BGTFDLX LX Equity,1,1.769052393616897,top1,,0.0,2024-02-01,0,same_ticker,1.47,0.0147,LUX IM-PICTET FUT TRE-DXL EA,LUX IM-PICTET FUT TRE-DXL EA
2024-04-01,STRAT2,BLEURAA LX Equity,2,1.1097472630446914,top2_diversified,0.0670499327063276,0.6593051305722055,2024-02-01,0,same_ticker,1.862,0.01862,BLACKROCK STR FD-EUR ABS-A2,BLACKROCK STR FD-EUR ABS-A2
2024-04-01,STRAT3,SGCBIFH LX Equity,1,0.8354699647689363,top1,,0.0,2024-02-01,0,same_ticker,1.32,0.0132,Schroder Gaia BD IF,Schroder Gaia BD IF
2024-04-01,STRAT3,GAMCBIA ID Equity,2,0.8322904255438758,top2_diversified,0.016894181205576668,0.0031795392250605348,2024-02-01,0,same_ticker,0.8,0.008,Gam Swiss Re Cat Bond - Ins EU,Gam Swiss Re Cat Bond - Ins EU
2024-05-01,STRAT1,UIATHNA GR Equity,1,1.1345827705918259,top1,,0.0,2024-02-01,0,same_ticker,1.23,0.0123,ATHENA UI,ATHENA UI
2024-05-01,STRAT1,ALLVOSI LX Equity,2,0.9277018767372672,top2_diversified,-0.04212212044121318,0.20688089385455866,2024-02-01,0,same_ticker,0.7,0.006999999999999999,ALLIANZ-VOLATILITY STR-I,ALLIANZ-VOLATILITY STR-I
2024-05-01,STRAT2,BGTFDLX LX Equity,1,1.5390900898169115,top1,,0.0,2024-02-01,0,same_ticker,1.47,0.0147,LUX IM-PICTET FUT TRE-DXL EA,LUX IM-PICTET FUT TRE-DXL EA
2024-05-01,STRAT2,PRAEEMA LX Equity,2,0.9528581868064916,top2_diversified,0.08474609384438925,0.5862319030104199,2024-02-01,1,better_score,1.55,0.0155,PRVED-AMBER EVT EUR-EUR MA,PRVED-AMBER EVT EUR-EUR MA
2024-05-01,STRAT3,DISFCPE LX Equity,1,0.9668548214522475,top1,,0.0,2024-02-01,1,better_score,1.11,0.0111,DANSKE INV FX IN GL VAL-CPEC,DANSKE INV FX IN GL VAL-CPEC
2024-05-01,STRAT3,GAMCBIA ID Equity,2,0.7627208407406418,top2_diversified,0.016894181205576668,0.0031795392250605348,2024-02-01,0,hold_buffer,0.8,0.008,Gam Swiss Re Cat Bond - Ins EU,Gam Swiss Re Cat Bond - Ins EU
2024-06-03,STRAT1,UIATHNA GR Equity,1,1.1034431495128578,top1,,0.0,2024-02-01,0,same_ticker,1.23,0.0123,ATHENA UI,ATHENA UI
2024-06-03,STRAT1,ALLVOSI LX Equity,2,0.9206295050974297,top2_diversified,-0.049064228324338606,0.18281364441542813,2024-02-01,0,same_ticker,0.7,0.006999999999999999,ALLIANZ-VOLATILITY STR-I,ALLIANZ-VOLATILITY STR-I
2024-06-03,STRAT2,PRAEEMA LX Equity,1,1.371346418744934,top1,,0.0,2024-02-01,1,better_score,1.55,0.0155,PRVED-AMBER EVT EUR-EUR MA,PRVED-AMBER EVT EUR-EUR MA
2024-06-03,STRAT2,BGTFDLX LX Equity,2,1.2308085969913336,top2_diversified,0.039842571148529314,0.1405378217536004,2024-02-01,1,deduplicate,1.47,0.0147,LUX IM-PICTET FUT TRE-DXL EA,LUX IM-PICTET FUT TRE-DXL EA
2024-06-03,STRAT3,DISFCPE LX Equity,1,1.1331522231700135,top1,,0.0,2024-02-01,0,same_ticker,1.11,0.0111,DANSKE INV FX IN GL VAL-CPEC,DANSKE INV FX IN GL VAL-CPEC
2024-06-03,STRAT3,TWCBIEA ID Equity,2,0.765166279768775,top2_diversified,-0.0686024894670079,0.36798594340123847,2024-02-01,1,better_score,1.13,0.0113,Twelve Cat Bond,Twelve Cat Bond
2024-07-01,STRAT1,UIATHNA GR Equity,1,1.1462144552406435,top1,,0.0,2024-02-01,0,same_ticker,1.23,0.0123,ATHENA UI,ATHENA UI
