,AEABSIA ID Equity
2023-04-21,-0.0008031453559353821
2023-04-25,0.0008675496325578025
2023-04-26,0.002798454002471137
2023-04-27,0.0026166199866883423
2023-04-28,0.0003968414790631817
2023-05-03,0.00026589466972848553
2023-05-04,0.0002582669612914852
2023-05-05,0.00012882692537739232
2023-05-09,8.855434988436666e-06
2023-05-10,0.0006246619628025461
2023-05-11,-1.3709885451914207e-05
2023-05-12,6.515530320119776e-05
2023-05-16,3.1358137261479992e-06
2023-05-17,0.00012728505779148542
2023-05-18,0.00015536286335231516
2023-05-19,-0.00025450379466318145
2023-05-23,-0.0009306974776576256
2023-05-24,-0.0007234051573072911
2023-05-25,-0.0007836507405775626
2023-05-26,0.0005396868880227577
2023-05-30,0.0008861777804691919
2023-05-31,0.00083975962880067
2023-06-01,0.0008520522463348825
2023-06-02,0.0011153847607659542
2023-06-06,-0.001951212664285391
2023-06-07,-0.0025358456618918813
2023-06-08,-0.002155065855058623
2023-06-09,-0.0024752110269466495
2023-06-13,-0.002457081671185347
2023-06-14,-0.0021688760271162365
2023-06-15,-0.0025722070220159376
2023-06-16,-0.0023805910703200857
2023-06-20,-0.0020472537139725254
2023-06-21,-0.0019080005525433305
2023-06-22,-0.0022873888555709123
2023-06-23,-0.0023154206178123498
2023-06-27,-0.0028946508957261594
2023-06-28,-0.003192981701259315
2023-06-29,-0.003492710972106372
2023-06-30,-0.004161962204769313
2023-07-04,-0.00427250797127882
2023-07-05,-0.004671629858245047
2023-07-06,-0.003905263294230231
2023-07-07,-0.0038485741919113328
2023-07-11,-0.004069170400156218
2023-07-12,-0.003551674499676749
2023-07-13,-0.0036351933404243134
2023-07-14,-0.0044181504791567456
2023-07-18,-0.003866177564262718
2023-07-19,-0.0035691709080446347
2023-07-20,-0.0035631613229899447
2023-07-21,-0.003664593952424271
2023-07-25,-0.003586296842229108
2023-07-26,-0.003545772320607492
2023-07-27,-0.0036990415371189423
2023-07-28,-0.005436420961400112
2023-08-01,-0.005365485383362874
2023-08-02,-0.005005472425838807
2023-08-03,-0.005552374232079509
2023-08-04,-0.0030773390621141408
2023-08-08,-0.0030019072741275564
2023-08-09,-0.003615134808667345
2023-08-10,-0.0037662196163858104
2023-08-11,-0.0036327606929014754
2023-08-15,-0.0055019678740090994
2023-08-16,-0.005646005474883649
2023-08-17,-0.004512316486892458
2023-08-18,-0.004487724765171659
2023-08-22,-0.004984179440415066
2023-08-23,-0.00451014992744306
2023-08-24,-0.004611418520545502
2023-08-25,-0.004657561225179272
2023-08-29,-0.004535495097911317
2023-08-30,-0.004597273789206114
2023-08-31,-0.004499304918943557
2023-09-01,-0.0050614245358502515
2023-09-05,-0.0058563791582705626
2023-09-06,-0.006457413684535655
2023-09-07,-0.007626621527554151
2023-09-08,-0.007227254377214913
2023-09-12,-0.006986044658315535
2023-09-13,-0.006422984324215639
2023-09-14,-0.006092263382463827
2023-09-15,-0.004644631197251454
